62,140,78
113,105,122
106,111,131
127,113,85
73,103,136
139,116,99
174,177,150
123,116,99
94,109,94
109,110,78
95,127,95
94,109,96
94,94,125
94,94,127
108,111,108
110,94,92
126,79,125
124,109,79
125,64,142
134,110,94
126,108,110
156,127,132
100,78,135
141,94,94
94,125,78
125,112,80
109,78,141
109,125,78
113,103,123
120,110,89
109,126,62
110,109,95
95,109,94
112,78,109
96,109,93
124,141,113
64,142,103
125,63,124
94,140,63
47,141,108
125,78,114
93,110,109
79,126,92
141,125,62
96,65,141
124,143,31
111,93,110
108,93,112
126,95,95
94,109,79
122,142,159
93,110,94
110,110,93
108,125,79
115,94,109
109,94,108
109,94,110
110,111,78
