94,109,93
110,92,96
126,93,78
110,109,93
92,111,93
124,95,81
108,94,94
140,109,108
94,123,80
93,110,109
109,94,93
95,129,47
110,110,93
94,110,92
125,79,95
110,77,125
109,94,94
79,126,77
125,77,126
125,95,93
86,141,63
95,124,94
111,129,125
79,94,110
109,94,110
125,109,110
129,109,63
93,95,108
124,125,63
109,96,109
110,93,95
63,141,77
112,93,110
109,111,92
108,94,112
125,145,34
125,130,77
141,132,124
124,94,94
126,93,78
93,109,95
93,93,129
95,109,94
109,109,95
93,110,94
93,111,92
94,124,79
80,109,94
112,92,94
95,95,109
93,127,78
93,139,95
157,112,77
110,77,125
125,110,77
110,108,95
63,110,109
78,141,93
94,94,109
95,108,94
110,109,94
77,126,112
108,111,78
92,111,93
126,97,78
93,111,92
138,142,94
141,114,77
110,94,108
109,94,95
94,110,95
86,152,60
104,110,96
101,110,93
101,110,95
99,110,91
101,111,92
105,111,96
106,105,96
104,106,96
102,108,92
135,137,121
105,107,95
105,109,96
101,109,92
104,106,98
103,106,96
102,109,93
108,106,98
103,109,94
